epoch,loss,accuracy,time
1,1.0227661522626876,0.519375,33.99207592010498
2,0.8924471932649612,0.58075,18.87799382209778
3,0.8258326035737992,0.61475,21.3675479888916
4,0.7823520768284797,0.639875,17.649123191833496
5,0.7666939154863358,0.653125,17.437011003494263
6,0.7446928206086159,0.6615,17.432029008865356
7,0.756792063176632,0.662625,17.470560789108276
8,0.6784640834331512,0.70475,18.521016597747803
9,0.6534460225105285,0.719,18.30112385749817
10,0.6073084157109261,0.739625,19.156392574310303
11,0.6170619298517704,0.741375,17.947490692138672
12,0.5988217553794384,0.746875,18.336705923080444
13,0.6612473983168602,0.707375,19.00188398361206
14,0.6448261639773846,0.71525,19.07917094230652
15,0.6115160298943519,0.73125,20.9734890460968
16,0.6379586608111858,0.716625,18.717379808425903
17,0.6886789099276066,0.700625,20.19644021987915
18,0.552843282431364,0.767125,20.63862156867981
19,0.5738954268097878,0.762125,19.61855936050415
20,0.4768430590033531,0.809625,19.159830331802368
21,0.4508905592858791,0.82825,21.186477422714233
22,0.5031262660473586,0.79425,20.298868894577026
23,0.41858558233082294,0.8425,22.467336416244507
24,0.47705495423078537,0.808,18.83378839492798
25,0.41981748251616957,0.836375,18.540163278579712
26,0.5115444450974465,0.801,18.231428146362305
27,0.38032632157206536,0.863625,19.883262157440186
28,0.35112706211954353,0.877875,19.075891256332397
29,0.37755318600684407,0.862125,18.61954140663147
30,0.3005125065743923,0.897625,20.202268600463867
31,0.33508137218654155,0.88275,18.776688814163208
32,0.28789919774467126,0.901875,18.354134798049927
33,0.2747537915557623,0.908375,19.005236864089966
34,0.30907882668450476,0.893125,19.318597316741943
35,0.2694831573292613,0.913625,18.7102530002594
36,0.7337518389262259,0.615125,18.666563034057617
37,0.2863827584385872,0.91425,19.786828994750977
38,0.227613760962151,0.92925,18.929271697998047
39,0.2819482250353321,0.91,19.07036781311035
40,0.20075277319177987,0.938625,18.049751043319702
41,0.18990022636018694,0.944125,20.746507167816162
42,0.20044561190530658,0.9375,18.73912262916565
43,0.41898852195218206,0.835125,18.707109451293945
44,0.30304947458580134,0.890625,19.714581966400146
45,0.3422144524529576,0.885625,19.13921070098877
46,0.2191581784337759,0.928875,19.42549180984497
47,0.2250164711205289,0.92575,21.20267128944397
48,0.3724211219809949,0.85075,18.44855046272278
49,0.30513436133041977,0.87775,18.764602661132812
50,0.1595304089775309,0.954375,19.032806158065796
51,0.15335225453507156,0.954125,21.801074743270874
52,0.3080103647746146,0.898875,18.105732202529907
53,0.18434633094444872,0.944625,18.828668355941772
54,0.13198728726804257,0.961625,23.732155799865723
55,0.13508774016518146,0.96175,20.239235877990723
56,0.36404680504929277,0.853625,19.788987398147583
57,0.4297532735001296,0.804625,19.298156261444092
58,0.15863740981277077,0.947875,18.924251794815063
59,0.17565127305174247,0.95225,21.92160654067993
60,0.12147042475361378,0.96125,20.44592523574829
61,0.15378058801218866,0.95525,18.717089891433716
62,0.509398121163249,0.76,20.3160502910614
63,0.1844637445015833,0.929375,19.158796310424805
64,0.1347220441903919,0.954875,19.921775102615356
65,0.1282711801775731,0.962,19.84513545036316
66,0.17215121241798625,0.943125,18.38955807685852
67,0.19904004915431142,0.9385,18.277002334594727
68,0.0851685145511292,0.9775,21.253482580184937
69,0.08591859697271138,0.974125,23.05742883682251
70,0.2952494716504589,0.894375,20.72165083885193
71,0.11515802271058782,0.96,18.560052633285522
72,0.06645467852149159,0.97825,18.075841188430786
73,0.04266100489511154,0.983625,20.40461277961731
74,0.03706251386424992,0.984875,18.228418827056885
75,0.05401700047391932,0.981375,19.20976734161377
76,0.1911460490829777,0.93325,21.76638913154602
77,0.3927713495446369,0.844375,20.150290966033936
78,0.20810425272607244,0.923875,18.07972550392151
79,0.0665226927853655,0.976375,19.962097644805908
80,0.19327740466664545,0.936125,18.45108962059021
81,0.05702882770381984,0.978375,20.477922439575195
82,0.03760495619138237,0.985375,19.071280002593994
83,0.09987399083611671,0.970625,18.706185579299927
84,0.08528345542086754,0.974375,18.833863258361816
85,0.08882755559426732,0.97025,21.41502594947815
86,0.13445941301155837,0.960875,20.225364446640015
87,0.1742389961828012,0.941375,18.32635498046875
88,0.13186949957499747,0.94875,18.4809410572052
89,0.2656545984884724,0.89825,19.51340103149414
90,0.06124801274517085,0.977,19.392918586730957
91,0.044176305439148564,0.984875,19.713627099990845
92,0.11874022728193086,0.966875,20.788933277130127
93,0.03226408006652491,0.989125,18.505027055740356
94,0.0731745349811972,0.973875,19.37549662590027
95,0.1181702351438289,0.962875,22.63653826713562
96,0.1716640637619421,0.9515,19.721607446670532
97,0.04127561298606452,0.986375,18.018331050872803
98,0.03711864512681495,0.98825,18.52540349960327
99,0.13382296351302647,0.958625,18.253817319869995
100,0.07332559043195215,0.97675,21.144444465637207
